ID	Tweet	Intensity Class
30793	tagaddr 2 2 tagaddr quit emailaddr emailaddr linkaddr sadden us date joyous anticip attend dg concert sinc 2014 happi keep busi	0
30070	2 day gopackgo 23 day gogipego excit	3
30692	posit psycholog research show salespeopl score top 10 optim 88 gt sale top 10 pessim	0
31323	bird chirp cow moo need listen sound natur ensur well	1
31553	howl laughter well done bezza bakeoff gbbo	3
31296	tagaddr afternoon delight	2
30419	tagaddr defo hearti root veg gratin nice comfort food autumn kick	1
31315	rememb reflect reginald denni night much like like charlott think gun lobbi must rejoic	1
30871	tagaddr spirit optim	0
31529	tagaddr tagaddr also	0
31555	tagaddr thank notif came nick time cheer tweet	3
30631	tagaddr go away want see hurt chang heart mind realli option optim	0
31599	u havent learn swim keep work denser less buoyant swim scari also u cant swim	0
31258	even forget robinhoodhour tonight n n bizitalk bizhour southyorkshir mansfieldhour chirp sheffieldhour nottshour	1
31188	close end revis take stori love new direct exhilar endlessposs amwrit	2
30706	mirana told shut sing along glee	0
31108	happi recip open mind laughter kind heart amp	2
31380	lit class great person good cheer	3
30353	watch amaz live ly broadcast tagaddr music	1
30063	tagaddr ah got work much rejoic lol thank get taht	3
31187	function regard camshaft exhilar compani cqhshjsi	0
30580	tagaddr tagaddr tagaddr kirbi black panther cool anim panel	0
30227	pop half bottl 2014 tagaddr sparkl gamaynoir westbank evenin folk n bcwinechat	2
30095	tagaddr cheeri	3
30723	tagaddr actual mayb suppos die donat save live	0
31277	wan na get danc everyon bed suck everyon wake hyper letsdanc dirtydancinginthemoonlight	3
30752	tagaddr tagaddr look like book shape like gun itsagunalright	0
31207	tagaddr hearti italian man	2
30965	littl sniffl end song get everi time	0
31403	comfort amp jubil place find joy best passion abt compani keep	1
31228	tagaddr watch great wall hilari	3
31498	tagaddr dwts make night everi show hilari	3
30279	watch amaz live ly broadcast tagaddr music	2
30827	love famili much lucki grate smartassfamili love	3
30991	tagaddr tagaddr metaphor world get hilar jpod pronounc humor	2
31272	tagaddr good question realli know slowli lose optim	0
31535	whatev decid make sure make happi	2
30781	inquiri alleg abus uk troop afghanistan iraq data suggest buoyant post brexit economi make front page	0
30069	may day fill peac love n laughter nice day full success jummah mubarak good morn tagaddr	3
30621	pinterest one dessert next thing know pin make 27 differ visual pleas mouth water never gon na make sweet	0
31398	love tagaddr insta hilari	3
30030	retweet gunnysmith93 stephen21smith n nday like today happi aliv bless rejoic	3
31141	paki applaud sharif speech wonder mani realli understood said nthey much excit happi	1
30446	tagaddr memphi look bright rojo look like rojo	1
30120	tagaddr beam glee	3
30443	someth make excit terrifi thrill nervous elat amp like kick gut need word	1
31449	crossfit houston la homefolk spri proprieti regim ajafu	0
30589	tagaddr random guess potenti ameli kenneth 30 rock ya instead tv amp mayb w optim lara jean	0
30104	aw young fox outsid grass jump around play littl stretch soo cute	3
